arquivo,documento_id,n_tokens,n_entidades,qtde_NOUN,qtde_VERB,qtde_ADJ,qtde_PROPN,qtde_PER,qtde_ORG,qtde_LOC,qtde_nsubj,qtde_obj,qtde_amod,qtde_advmod
noticias_cdc-nao-se-aplica-aos-contratos-de-locacao_440875769.txt,53,265,13,68,23,23,18,0,5,2,9,13,23,8
noticias_ciclo-de-palestras-expert-em-contratos_593901177.txt,54,424,19,100,47,27,35,4,3,3,12,21,23,10
noticias_ciclo-de-palestras-expert-em-contratos_594555487.txt,55,477,19,113,54,28,34,0,4,1,13,26,25,13
noticias_clausula-arbitral-em-contratos-com-construtoras_927578051.txt,56,762,27,163,100,39,49,1,10,7,37,58,33,25
noticias_clausula-arbitral-em-contratos-com-construtoras_927578148.txt,57,762,27,164,100,40,47,1,10,7,37,58,33,25
noticias_clausula-compromissoria-nos-contratos-individuais-de-trabalho_766868254.txt,58,714,31,157,65,55,56,1,4,7,24,24,50,18
noticias_clausula-de-nao-concorrencia-em-contratos-de-franquia-empresarial_882551305.txt,59,419,19,89,41,25,31,0,4,9,19,19,21,15
noticias_clausula-de-renuncia-as-benfeitorias-em-c_edba799bd6.txt,60,710,19,184,94,30,28,3,7,4,32,40,24,23
noticias_clausula-penal-abusiva-de-contrato_608920207.txt,61,300,14,66,33,26,30,2,0,4,12,13,24,8
noticias_clausula-penal-em-contrato-de-honorarios_432340266.txt,62,587,67,108,21,24,156,5,16,17,11,8,15,11
noticias_clausulas-abusivas-em-contratos-bancarios_619690801.txt,63,650,13,149,85,38,12,1,5,1,36,48,33,20
noticias_cliente-que-pagou-juros-acima-do-firmado-em-contrato-sera-restituido_1862291061.txt,64,329,9,88,35,18,12,2,0,4,14,19,14,17
noticias_clt-entenda-o-contrato-de-trabalho-multifuncional_417295994.txt,65,443,34,94,27,35,81,2,3,6,12,15,34,8
noticias_comercializacao-de-seguro-garantia-para-c_bba59e71a7.txt,66,120,7,34,10,5,15,0,1,0,6,5,5,3
noticias_como-a-pandemia-afeta-os-contratos-de-locacao-comercial_850333429.txt,67,606,12,142,66,42,17,6,0,1,34,26,30,24
noticias_como-cancelar-a-suspensao-e-reativar-o-contrato-de-trabalho_848946595.txt,68,266,9,68,27,14,18,2,1,2,9,11,9,9
noticias_como-fazer-um-bom-contrato-de-compra-e-venda-de-imovel_1357467722.txt,69,1221,13,335,142,77,18,3,2,4,39,74,54,29
noticias_como-fazer-um-contrato-com-influenciadores-digitais_1243509588.txt,70,1217,32,278,144,71,68,4,6,1,60,60,51,43
noticias_como-fica-os-contratos-durante-o-periodo-do-coronavirus_829327920.txt,71,914,32,223,103,54,51,4,4,9,40,54,45,29
noticias_como-ficam-os-contratos-e-a-concorrencia-na-epidemia-do-coronavirus_830484682.txt,72,135,12,24,15,6,22,1,1,3,6,7,4,6
noticias_como-ficam-os-contratos-pos-pandemia_860986363.txt,73,292,6,71,28,25,9,1,0,2,14,10,20,20
noticias_como-renegociar-o-contrato-de-locacao_884829786.txt,74,498,5,119,64,34,10,0,0,1,20,29,25,11
noticias_como-revisar-juros-de-financiamento-mesmo-ja-assinado-o-contrato_936850653.txt,75,261,7,58,31,12,16,1,0,1,17,13,4,12
noticias_confira-as-vantagens-do-contrato-por-experiencia_405537060.txt,76,926,40,218,78,57,75,5,9,10,39,41,54,24
noticias_confirmada-decisao-que-negou-estabilidade-a-gestante-em-contrato-temporario_1388683296.txt,77,379,21,87,29,29,39,2,4,7,17,11,21,8
noticias_confirmada-decisao-que-negou-estabilidade-a-gestante-em-contrato-temporario_1644312100.txt,78,374,18,87,28,28,38,2,2,7,16,12,22,8
noticias_conhecimento-sempre-fara-a-diferenca-em-contratos-bancarios_724212651.txt,79,275,6,61,28,18,10,1,1,0,16,14,17,20
noticias_consequencias-da-descaracterizacao-do-contrato-de-estagio_1109789656.txt,80,355,12,87,31,28,23,1,2,2,9,11,23,12
noticias_consideracoes-sobre-contrato-de-namoro_1483671700.txt,81,62,4,14,8,3,2,0,0,1,2,2,2,5
noticias_contatos-para-contratos_386005618.txt,82,336,8,76,35,27,10,0,2,0,13,17,24,19
noticias_contrato-administrativo-e-subcontratacao_370410671.txt,83,156,11,36,14,15,17,1,2,3,5,5,13,7
noticias_contrato-barter-portal-noticias-agricolas_1117694415.txt,84,26,4,5,3,0,8,0,1,0,1,1,0,2
noticias_contrato-celebrado-com-instituicao-de-pre_087f9eceb9.txt,85,437,15,108,44,32,26,2,1,5,18,14,26,17
noticias_contrato-celebrado-com-instituicao-de-pre_0df1adc2a3.txt,86,440,15,108,44,33,28,2,1,6,17,14,27,17
noticias_contrato-celebrado-com-instituicao-de-pre_3a5dbdb0db.txt,87,440,15,109,44,33,27,2,1,6,18,14,26,17
noticias_contrato-celebrado-com-instituicao-de-pre_6ba019320f.txt,88,437,14,108,44,32,27,2,1,5,18,14,26,17
noticias_contrato-com-influenciadores-digitais-o-que-deve-ser-observado_1158839349.txt,89,572,13,126,78,32,17,2,2,1,32,34,19,22
noticias_contrato-com-prazo-determinado-e-fgts_215378630.txt,90,438,40,110,34,24,67,8,8,1,13,15,19,6
noticias_contrato-de-adesao-clausula-arbitral-em-c_d2fa46bca6.txt,91,521,14,145,52,27,16,5,1,4,24,28,18,24
noticias_contrato-de-adesao-para-compra-de-imovel_853307477.txt,92,274,8,77,23,7,16,2,1,2,8,7,8,7
noticias_contrato-de-allowance_886961146.txt,93,125,7,27,7,4,18,1,1,1,6,3,3,3
noticias_contrato-de-arrendamento-rural_823336559.txt,94,153,16,30,4,9,38,3,2,3,1,1,6,0
noticias_contrato-de-arrendamento-rural_825101860.txt,95,333,9,94,33,23,8,0,0,3,17,18,17,10
noticias_contrato-de-cambio_790667322.txt,96,347,15,81,34,20,36,0,5,4,10,16,15,6
noticias_contrato-de-cartao-de-credito-consignado_680195888.txt,97,503,9,128,65,25,18,0,2,3,27,27,19,27
noticias_contrato-de-cessao-de-posse-x-contrato-de-promessa-de-compra-e-venda_921664938.txt,98,458,10,118,37,24,18,1,0,2,17,18,21,18
noticias_contrato-de-comissao-empresarial_657513253.txt,99,56,3,11,5,1,15,1,0,0,3,2,1,0
noticias_contrato-de-compra-de-imovel-sem-registro-na-matricula-e-regido-pelo-cdc_1851011756.txt,100,462,16,120,46,14,25,4,3,3,18,14,13,10
noticias_contrato-de-compra-e-venda-escritura-e-registro-de-imovel_1387128391.txt,101,1199,35,298,125,67,35,21,0,5,49,60,59,22
noticias_contrato-de-corretagem-pode-condicionar-p_a8713568a9.txt,102,726,14,183,73,44,18,3,1,5,31,31,36,17
noticias_contrato-de-corretagem-pode-condicionar-p_b1343c3cc1.txt,103,726,16,183,73,44,19,3,1,6,31,31,36,17
noticias_contrato-de-corretagem-pode-condicionar-p_d5df0c779f.txt,104,864,17,193,76,46,129,3,1,6,32,34,37,123
noticias_contrato-de-empreitada-mais-uma-excecao-a_f7831f2e33.txt,105,219,5,59,14,13,11,0,1,1,7,3,11,8
noticias_contrato-de-estagio_147934727.txt,106,165,9,39,12,12,13,0,2,0,6,3,6,7
noticias_contrato-de-experiencia-apos-dispensa-da-mesma-funcao-e-considerado-fraude_1212074135.txt,107,528,19,127,51,23,36,3,3,9,27,27,15,20
noticias_contrato-de-experiencia-fraude-gera-a-indeterminacao-do-contrato_2949596.txt,108,407,40,85,30,28,80,6,2,18,9,11,23,6
noticias_contrato-de-experiencia_113731886.txt,109,354,11,97,33,18,18,4,1,0,18,17,19,13
noticias_contrato-de-factoring_668920258.txt,110,177,10,43,19,6,17,1,0,5,7,10,4,5
noticias_contrato-de-factoring_872999751.txt,111,171,3,47,18,11,5,0,0,0,7,8,9,8
noticias_contrato-de-financiamento-de-veiculo_1247177773.txt,112,419,9,112,57,18,13,1,1,2,21,29,15,14
noticias_contrato-de-franquia-nao-assinado-e-valido-entende-stj_1776320640.txt,113,389,17,106,39,23,31,4,4,3,17,21,16,12
noticias_contrato-de-gaveta-de-compra-e-venda-de-imovel-quais-sao-os-meus-direitos_1153153992.txt,114,399,11,94,38,21,16,0,0,7,27,21,17,21
noticias_contrato-de-gaveta-e-acoes-revisionais_409591100.txt,115,413,15,99,41,20,28,3,4,3,22,24,18,15
noticias_contrato-de-gaveta-quais-sao-os-riscos_1404986448.txt,116,230,8,52,23,11,33,0,2,2,11,11,8,13
noticias_contrato-de-gaveta-tem-validade_1130196269.txt,117,286,15,75,18,36,20,5,0,2,11,7,9,8
noticias_contrato-de-gaveta_342190225.txt,118,535,29,127,51,29,35,4,5,4,20,26,23,21
noticias_contrato-de-gaveta_813835010.txt,119,163,4,37,21,8,7,0,0,1,7,7,4,10
noticias_contrato-de-gaveta_932969772.txt,120,55,6,12,5,1,8,3,0,0,4,1,0,3
noticias_contrato-de-honorarios-precisa-de-testemunhas_1234308037.txt,121,67,3,17,7,1,3,0,0,0,5,5,0,4
noticias_contrato-de-joint-venture_816284682.txt,122,91,5,25,6,7,12,1,0,1,5,4,9,0
noticias_contrato-de-locacao-ausencia-dos-copropri_3e28e5b118.txt,123,304,18,63,23,20,26,3,1,6,7,12,13,7
noticias_contrato-de-locacao-caucao-bem-de-familia-impenhorabilidade_1168662574.txt,124,141,9,34,8,5,17,2,0,4,3,2,4,5
noticias_contrato-de-locacao-de-imovel-comercial_650001428.txt,125,1339,48,296,110,177,61,2,9,9,35,42,71,29
noticias_contrato-de-locacao-de-imovel-pode-ser-rescindido-por-e-mail_2184199375.txt,126,277,10,61,33,10,16,2,0,2,13,9,10,11
noticias_contrato-de-locacao-pop-up_891371004.txt,127,165,3,49,12,12,11,0,0,0,6,5,12,5
noticias_contrato-de-locacao-residencial-qual-tipo-de-contrato-protege-mais-o-locatario_917372683.txt,128,608,13,156,60,26,42,0,0,1,21,17,19,15
noticias_contrato-de-locacao-revisao-de-aluguel-de_e2b94adf46.txt,129,361,13,101,39,25,18,1,1,5,14,15,22,16
noticias_contrato-de-locacao-sem-garantia_1177475402.txt,130,794,9,222,89,40,10,1,1,2,46,37,29,35
noticias_contrato-de-locacao_1681044405.txt,131,167,8,49,13,2,8,0,0,2,5,5,1,6
noticias_contrato-de-locacao_2918715.txt,132,137,9,41,13,3,14,0,2,4,6,5,4,4
noticias_contrato-de-locacao_780938563.txt,133,173,8,34,25,9,7,0,1,1,12,9,5,11
noticias_contrato-de-marketing-digital-qual-a-importancia-do-contrato-para-o-seu-negocio_1164677214.txt,134,748,15,202,77,45,26,3,2,0,33,40,28,20
noticias_contrato-de-medica-nao-concursada-e-nulo_487811715.txt,135,448,17,105,50,38,34,4,1,7,19,28,33,21
noticias_contrato-de-namoro-e-necessario_860639681.txt,136,147,3,40,12,13,3,0,0,0,9,6,10,7
noticias_contrato-de-namoro_121001404.txt,137,397,6,98,37,34,8,1,0,2,21,17,30,20
noticias_contrato-de-namoro_1684999737.txt,138,379,4,93,44,27,3,0,0,0,26,16,22,20
noticias_contrato-de-namoro_348177781.txt,139,574,15,152,73,33,23,3,2,4,29,32,27,20
noticias_contrato-de-namoro_860610709.txt,140,149,14,38,11,11,15,3,1,2,2,3,5,1
noticias_contrato-de-namoro_918644188.txt,141,228,4,52,30,19,1,0,0,1,15,15,13,12
noticias_contrato-de-parceria-intelectual-entre-advogados-e-de-natureza-civil_630466655.txt,142,984,41,245,86,61,65,4,21,10,41,37,54,23
noticias_contrato-de-parceria-rural_818053194.txt,143,291,6,73,25,19,8,0,0,0,8,14,13,12
noticias_contrato-de-parceria-rural_820343156.txt,144,219,3,61,16,20,7,0,0,0,10,8,18,3
noticias_contrato-de-permuta-e-desocupacao-do-imovel_196962336.txt,145,401,11,92,48,11,22,2,2,4,20,26,9,10
